,loss,categorical_accuracy,val_loss,val_categorical_accuracy
0,0.05533988151474557,0.767649233341217,0.03581231886823662,0.8542845249176025
1,0.0326069257124783,0.879128098487854,0.030480882650008426,0.8777258396148682
2,0.02760669687634581,0.8989783525466919,0.02732510251784697,0.8924431800842285
3,0.024505582578585195,0.9109627604484558,0.02550048667076044,0.9008865356445312
4,0.02237777022595714,0.9195631146430969,0.024356937224045395,0.90570467710495
5,0.020799302229132906,0.9252051711082458,0.02359014144609682,0.9094469547271729
6,0.019597570629750406,0.9296156167984009,0.02298848093114793,0.9123586416244507
7,0.018644810965947226,0.9334408044815063,0.022470575470244513,0.9149101972579956
8,0.01781221614953387,0.9364034533500671,0.022357172809774055,0.916178286075592
9,0.017033455213788934,0.9392801523208618,0.022079972026403993,0.9174882769584656
