,P,R,F
S,0.9317539132951838,0.8811539271425564,0.9057477732924969
B,0.9143080531665364,0.9251256988150909,0.9196850668927008
M,0.6747980233743823,0.7494555274849726,0.7101700511804525
E,0.9187558677283633,0.9290285151717591,0.9238636363636363
