,loss,categorical_accuracy,val_loss,val_categorical_accuracy
0,0.033139344415798445,0.847659707069397,0.027294611141085626,0.8761053681373596
1,0.023510279429487246,0.8950793147087097,0.023801170870661737,0.8921985030174255
2,0.020702078691432018,0.9084466695785522,0.021961776547133924,0.9023764133453369
3,0.018912856202827413,0.9164463877677917,0.02066953024081886,0.9071713089942932
4,0.01767198840163655,0.9222881197929382,0.019779131887480615,0.9126401543617249
5,0.016725816833169378,0.9265893697738647,0.01935863902978599,0.9150612354278564
6,0.0159848101979488,0.9298352003097534,0.018796147054061293,0.9174350500106812
7,0.015398944793625089,0.932548999786377,0.018469669986516238,0.9196586608886719
8,0.014884120398933838,0.9348775148391724,0.018072657508775593,0.9214100241661072
9,0.014488954889050073,0.9366645216941833,0.017957055693492294,0.9221011400222778
