,P,R,F
S,0.9444075636550527,0.9170132246527489,0.9305088143138972
B,0.9370573698439288,0.9611609193446862,0.9489561113257302
M,0.8620985255457767,0.8066413560772151,0.8334484378021492
E,0.9377453354936777,0.9550705159830557,0.946328635965208
